job location,salary,Employment Status,Educational requirments,job title,company name
Dhaka,"
                                                            ",Full-time,"We are looking for smart developers, eager to work in an international environment.",Sr. Software Engineer (Python/ Django),Binate Solutions Ltd.
"Dhaka, Kushtia","
                                                            Negotiable
                                                            ",Full-time,"Bachelor in Engineering (BEngg) in Computer Science & Engineering, Diploma in Engineering in Computer,Graduate in Computer Science and Engineering from renowned University Or Diploma In Engineering in Computer Technology",System Support Engineer,Syscom Information Systems Ltd.
Dhaka Division,"
                                                            Tk. 25000 - 40000 (Monthly)
                                                            ",Full-time,"Skills Required: JavaScript,Python,HTML5 & CSS3",Full Stack Developer,Pridesys IT Limited
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor degree in any discipline,Any training or courses in Digital Marketing and Graphics Designing will be an added advantage.",Digital Marketing Executive Cum Graphics Designer,Diamond World Ltd.
Khulna Division,"
                                                            Tk. 30000 - 50000 (Monthly)
                                                            ",Full-time,"Bachelor of Science (BSc) in cse, Master of Science (MSc) in cse,Khulna University,Khulna University of Engineering and Technology students will get preference,Skills Required: Linux,MS SQL Server,Agile methodology",Implementation & Support Manager,onAir International Limited
Dhaka,"
                                                            ",Full-time,"Graduation / Masters preferably in CSE, Mathematics, Physics, Accounting from any reputed universities.",Java Programmer,Swosti Limited
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,"Diploma in Engineering in Graphics Design,Diploma in Engineering (Graphics Design) from any reputed public University.,Govt.Graphics Arts Institute will be get preference.",Executive (Graphics Design),Retail Technologies
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science & Engineering, Master of Science (MSc) in Computer Science & Engineering",Lead Developer,PIICKME
Chattogram,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc),Wordpress Developer,Royex Technologies
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Graduated in Computer Science from any reputed public/private university or Equivalent,Social Media & Digital Marketing Expert,Rise Up Labs
Chattogram,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc),Android Mobile Application Developer,Royex Technologies
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Graduated in Computer Science from any reputed public/private university or Equivalent,Unity Game Developer,Rise Up Labs
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc), Bachelor of Science (BSc)",Software QA,Netizen IT Limited
Dhaka,"
                                                            Tk. 15000 - 20000 (Monthly)
                                                            ",Full-time,"B. Sc. in CSE but we believe in quality rather than certificates.,Skills Required: JavaScript, PHP, Code Igniter",PHP Trainer,solution Gateways
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"We don't care about educational Qualification If you are an excellent Designer. ,If you can design exceptional Themes and convert that into web with HTML, CSS, bootstrap then you are the person that we are looking for.,Skills Required: Web Services,Adobe Photoshop/ Illustrator,Adobe After Effects",Web Designer (UI/ UX),Eicra Soft Ltd.
Dhaka (Uttara),"
                                                            Tk. 40000 - 50000 (Monthly)
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science / Engineering from a reputed university.,Skills Required: ASP.Net Core MVC, Angular (5 or Higher), PostgreSQL",Angular Developer,Technitid Solutions Limited
Mymensingh (Mymensingh Sadar),"
                                                            Negotiable
                                                            ",Full-time,"Master of Business Administration (MBA) in Management, Bachelor of Business Administration (BBA) in Management,IT Skills, Basic Computer Skills, Social Communication, office application, Good English knowledge",Manager,Success Computer & Engineers
Dhaka,,Full-time,Bachelor degree in any discipline,Digital Marketing Executive,Chhuti Bangladesh Limited
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Applications, Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Computer Science,Skills Required: MS SQL Server,MySQL,JavaScript,Laravel Framework,HTML5 & CSS3,AngularJS,Oracle Database",PHP Laravel Developer (Full Stack),LinkVision Software Solution
Anywhere in Bangladesh,"
                                                            ",Full-time,"Bachelor degree in any discipline,City University,Jahangirnagar University students will get preference,Skills Required: MS Word/ Excel/ PowerPoint/ OneNote,Adobe Photoshop/ Illustrator,Adwords",Article Writer,QLQ Enterprise Co. Ltd
Sylhet,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science in Computer Science or equivalent degree from any reputed University.,Sr. Software Engineer - Sylhet,SJ Innovation BD Ltd.
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor's Degree in any field with preference to degrees in English/Literature, Journalism, Communications, Public Relations, MIS, Marketing, Advertising or Management. Students who have completed A-Level and has exceptional writing skills, can also apply.",Article Writer Cum SEO Expert,Color Experts International (CEI)
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Computer Application (BCA) in Computer Science & Engineering,Python Developer,Kutumbita Ltd.
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science & Engineering,Ahsanullah University of Science and Technology,American International University Bangladesh,Rajshahi University of Engineering and Technology,Shahjalal University of Science & Technology,East West University students will get preference,Skills Required: ActionScript,Agile methodology",QA Engineer,PIICKME
Dhaka,"
                                                            ",Full-time,At least 5 year(s),Senior Full-stack developer (JavaScript + PHP),Eskimi Limited
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"We don't care about your academic qualifications.,If you are a smart developer, eager to work in an international environment, join with us.",Senior iOS Developer,Oceanize Inc
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Master of Science (MSc) in Computer Science  Engineering, MBA,Preferred Professional Certification: CCNA,PRINCE2,Skills Required: Agile methodology",Head of Technology,Infolady Social Enterprise Limited
Dhaka Division,"
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE, Bachelor of Business Administration (BBA),Diploma in IT or training courses on IT skills/knowledge will be highly preferred.",Technical Communicator,SSL Wireless
Dhaka,"
                                                            ",Full-time,"Bachelor of Science (BSc) in EEE, CSE, ETE, IT, Physics, Bachelor of Business Administration (BBA) in Economics, Statistics,Candidates with CGPA below 4.0 in SSC or HSC need NOT to apply,Fresh Graduates are encouraged to apply, to state the obvious, some job experience is preferable.",Data Artist (Associate - Night Shift),Adiva Graphics
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc) in CSE,Software Specialist (PHP),SSL Wireless
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc) in Computer Science,VP - Engineering,Progoti Systems Ltd.
Dhaka,"
                                                            ",Full-time,At least 2 year(s),Senior React developer,Eskimi Limited
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc) in CSE,Magento Developer,CloudlyIO
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science  or equivalent,Skills Required: MS SQL Server,MySQL,ASP.Net,PHP,CodeIgniter,ASP.NET MVC",Web Developer,Braintech
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Fine Arts (B.F.A),Educational Qualification will be relaxed for experienced Graphics Designer,Skills Required: Graphics Design",Mobile Apps UI Designer,TwinBit Limited
Anywhere in Bangladesh,"
                                                            ",Full-time,Bachelor of Science (BSc) in Computer Science,Asst Manager - System Admin (Nation-Wide Broadband ISP),OptiMax Communication Ltd.
Dhaka Division,"
                                                            ",Full-time,At least 5 year(s),Senior Frontend Developer,Eskimi Limited
Dhaka,"
                                                            Tk. 30000 - 40000 (Monthly)
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science,Related training with testing certificates will add value",Quality Assurance Engineer,A Reputed IT/ITES Company in Bangladesh
Dhaka,"
                                                            ",Full-time,"Bachelor of Science (BSc) in EEE, CSE, ETE, IT, Physics, Bachelor of Business Administration (BBA) in Economics, Statistics,Candidates with CGPA below 4.0 in SSC or HSC need NOT to apply,Fresh Graduates are encouraged to apply, to state the obvious, some job experience is preferable.",Data Artist (Associate),Adiva Graphics
Dhaka,,Part-time,"Bachelor of Science (BSc),Ahsanullah University of Science and Technology,BRAC University,Bangladesh University of Professionals,North South University,Independent University, Bangladesh students will get preference,Skills Required: Development Research,ICT",Mobile App Experience Agent,Shohoz.com
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,"Master of Business Administration (MBA) in Marketing, Bachelor of Science (BSc) in Computer Science & Engineering,Any Reputed University of Bangladesh",Business Development Manager,A Leading IT/ITES Company in Bangladesh
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Bachelor Degree from reputable Academic/ University (related major); with good GPA,Full Stack Developer,IT Grow Division Ltd.
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor/ Master Degree from recognized Institute.,Skills Required: MySQL,PHP,WordPress,Laravel Framework,jQuery,AngularJS,CakePHP",Software Engineer,Instalogic
Dhaka,"
                                                            Tk. 25000 - 35000 (Monthly)
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science,Related training or project will add value.",Web Developer (PHP),A Reputed IT/ITES Company in Bangladesh
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Graduated in Fine Arts from any reputed public/private university or Equivalent,2d Concept Artist (Game),Rise Up Labs
Chattogram,"
                                                            ",Full-time,Bachelor of Science (BSc) in Graduate in Computer Science EEE from any reputed institute/ university.,IT Officer,Umme Aman Industies
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Graduated in Computer Science from any reputed public/private university or Equivalent,Bachelor's Degree in Computer Science or related field",Cocos Creator (Cocos2d-x) Game Developer,Rise Up Labs
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"B.Sc in CSE from a reputed university, but qualification may be relaxed for capable candidates.",Junior Programmer,Q-Soft Precise Assistance
Dhaka,"
                                                            Tk. 15000 (Monthly)
                                                            ",Full-time,Bachelor of Computer Application (BCA),Web Developer,Zamzam Travels BD
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Graduation from Computer Science/ Engineering,Senior iOS Engineer,BJIT Ltd.
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,M.Sc/B.Sc in CSE/CS,Full Stack Web Developer,BJIT Ltd.
,,,,,
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,Masters or Bachelor in Computer Science/ Engineering,Senior Android Engineer,BJIT Ltd.
,,,,,
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"MSc or B.Sc. in Computer Science & Engineering (CSE) (5 year+ Experience) relevant subject from any reputed institute/ university. ,Applicant must have experience on Implementation and maintenance ERP System & SQL Servers.",Asst. Manager - IT & MIS,Hatim Group
Dhaka,"
                                                            Tk. 15000 - 30000 (Monthly)
                                                            ",Full-time,"HSC,Minimum HSC or Equivalent.,Bachelor of Fine Arts/ Masters of Fine Arts would be preferable.,Training/Trade Course: Graphics Design,Skills Required: Graphics Design",Graphic Designer,Soukhin Infosys
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE, Master of Science (MSc) in CSE,Graduation from Computer Science/ Engineering",Senior PHP Engineer,BJIT Ltd.
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"M.Sc/B.Sc in CSE/CS,Educational Degree (B.Sc./M.Sc.) in Computer Science",Senior Software Engineer (C#),BJIT Ltd.
Anywhere in Bangladesh,,Full-time,See details inside.,Assistant Manager (ICT),BPDB RPCL POWERGEN LIMITED
